negative,positive,uncertainty,litigious,constraining,interesting,word
False,False,False,True,False,False,admission
False,False,False,True,False,False,admissions
True,False,False,False,False,False,adulterate
True,False,False,False,False,False,adulteration
True,False,False,False,False,False,adulterations
False,True,False,False,False,False,advancement
False,True,False,False,False,False,advancements
False,True,False,False,False,False,advance
False,True,False,False,False,False,advantage
False,True,False,False,False,False,advantageous
False,True,False,False,False,False,advantageously
True,False,False,False,False,False,adversarial
True,False,False,False,False,False,adversaries
True,False,False,False,False,False,adversary
True,False,False,False,False,False,adverse
True,False,False,False,False,False,adversely
True,False,False,False,False,False,adversities
True,False,False,False,False,False,adversity
False,False,False,True,False,False,affidavit
False,False,False,True,False,False,affidavits
False,False,False,True,False,False,affirmance
False,False,False,True,False,False,affreightment
False,False,False,True,False,False,aforedescribed
False,False,False,True,False,False,aforementioned
False,False,False,True,False,False,aforesaid
False,False,False,True,False,False,aforestated
True,False,False,False,False,False,aftermath
True,False,False,False,False,False,aftermaths
True,False,False,False,False,False,against
True,False,False,False,False,False,aggravate
True,False,False,False,False,False,aggravation
True,False,False,False,False,False,aggravations
False,False,False,False,False,True,aggressive
False,False,False,False,False,True,aggressively
False,False,False,False,False,True,aggressiveness
False,False,False,True,False,False,aggrieve
True,False,False,False,False,False,alert
True,False,False,False,False,False,alienate
True,False,False,False,False,False,alienation
True,False,False,False,False,False,alienations
True,False,False,True,False,False,allegation
True,False,False,True,False,False,allegations
True,False,False,True,False,False,allege
True,False,False,True,False,False,allegedly
False,True,False,False,False,False,alliance
False,True,False,False,False,False,alliances
False,False,True,False,False,False,almost
False,False,True,False,False,False,alteration
False,False,True,False,False,False,alterations
False,False,True,False,False,False,ambiguities
False,False,True,False,False,False,ambiguity
False,False,True,False,False,False,ambiguous
False,False,False,True,False,False,amend
False,False,False,True,False,False,amendable
False,False,False,True,False,False,amendatory
False,False,False,True,False,False,amendment
False,False,False,True,False,False,amendments
True,False,False,False,False,False,annoy
True,False,False,False,False,False,annoyance
True,False,False,False,False,False,annoyances
True,False,False,False,False,False,annul
True,False,False,False,False,False,annulment
True,False,False,False,False,False,annulments
True,False,True,False,False,False,anomalies
True,False,True,False,False,False,anomalous
True,False,True,False,False,False,anomalously
True,False,True,False,False,False,anomaly
False,False,False,True,False,False,antecedent
False,False,False,True,False,False,antecedents
False,False,True,False,False,False,anticipate
False,False,True,False,False,False,anticipation
False,False,True,False,False,False,anticipations
True,False,False,False,False,False,anticompetitive
False,False,False,True,False,False,anticorruption
True,False,False,True,False,False,antitrust
False,False,False,True,False,False,anywise
False,False,True,False,False,False,apparent
False,False,True,False,False,False,apparently
False,False,False,True,False,False,appeal
False,False,False,True,False,False,appealable
False,False,True,False,False,False,appear
False,False,False,True,False,False,appellant
False,False,False,True,False,False,appellants
False,False,False,True,False,False,appellate
False,False,False,True,False,False,appellees
False,False,False,True,False,False,appointor
False,False,True,False,False,False,approximate
False,False,True,False,False,False,approximately
False,False,True,False,False,False,approximation
False,False,True,False,False,False,approximations
False,False,False,True,False,False,appurtenance
False,False,False,True,False,False,appurtenances
False,False,False,True,False,False,appurtenant
False,False,False,True,False,False,arbitrability
False,False,False,True,False,False,arbitral
False,False,True,False,False,False,arbitrarily
False,False,True,False,False,False,arbitrariness
False,False,True,False,False,False,arbitrary
False,False,False,True,False,False,arbitrate
False,False,False,True,False,False,arbitration
False,False,False,True,False,False,arbitrational
False,False,False,True,False,False,arbitrations
False,False,False,True,False,False,arbitrative
False,False,False,True,False,False,arbitrator
False,False,False,True,False,False,arbitrators
True,False,False,False,False,False,argue
True,False,False,False,False,False,argument
True,False,False,False,False,False,argumentative
True,False,False,False,False,False,arguments
True,False,False,True,False,False,arrearage
True,False,False,True,False,False,arrearages
True,False,False,False,False,False,arrears
True,False,False,False,False,False,arrest
True,False,False,False,False,False,artificially
False,False,False,False,False,True,asbestos
False,False,False,True,False,False,ascendancy
False,False,False,True,False,False,ascendant
False,False,False,True,False,False,ascendants
True,False,False,False,False,False,assault
False,False,False,True,False,False,assertable
True,False,False,False,False,False,assertions
False,False,False,True,False,False,assignation
False,False,False,True,False,False,assignations
False,False,False,True,False,False,assumable
False,False,True,False,False,False,assume
False,False,True,False,False,False,assumption
False,False,True,False,False,False,assumptions
False,True,False,False,False,False,assure
False,True,False,False,False,False,attain
False,True,False,False,False,False,attainment
False,True,False,False,False,False,attainments
False,False,False,True,False,False,attest
False,False,False,True,False,False,attestation
False,False,False,True,False,False,attestations
False,False,False,True,False,False,attorn
False,False,False,True,False,False,attorney
False,False,False,True,False,False,attorneys
False,False,False,True,False,False,attornment
False,True,False,False,False,False,attractive
False,True,False,False,False,False,attractiveness
True,False,False,False,False,False,attrition
False,False,False,False,False,True,august
True,False,False,False,False,False,aversely
True,False,False,False,False,False,backdate
True,False,False,False,False,False,bad
True,False,False,True,False,False,bail
False,False,False,True,False,False,bailee
False,False,False,True,False,False,bailees
False,False,False,True,False,False,bailiff
False,False,False,True,False,False,bailiffs
False,False,False,True,False,False,bailment
True,False,False,False,False,False,bailout
True,False,False,False,False,False,balk
False,False,False,False,False,True,ban
True,False,False,False,False,False,bankrupt
True,False,False,False,False,False,bankruptcies
True,False,False,False,False,False,bankruptcy
True,False,False,False,False,False,bar
True,False,False,False,False,False,barrier
True,False,False,False,False,False,barriers
False,True,False,False,False,False,beautiful
False,True,False,False,False,False,beautifully
False,False,True,False,False,False,believe
False,True,False,False,False,False,beneficial
False,True,False,False,False,False,beneficially
False,False,False,True,False,False,beneficiate
False,False,False,True,False,False,beneficiation
False,True,False,False,False,False,benefit
False,True,False,False,False,False,best
False,True,False,False,False,False,better
False,False,False,False,False,True,bioterrorism
False,True,False,False,False,False,bolster
False,False,False,True,False,False,bona
False,False,False,True,False,False,bonafide
False,True,False,False,False,False,boom
False,True,False,False,False,False,boost
True,False,False,False,False,False,bottleneck
False,False,False,False,True,False,bind
False,False,False,False,True,False,bound
True,False,False,False,False,False,boycott
True,False,False,True,False,False,breach
True,False,False,False,False,False,break
True,False,False,False,False,False,breakage
True,False,False,False,False,False,breakages
True,False,False,False,False,False,breakdown
True,False,False,False,False,False,breakdowns
False,True,False,False,False,False,breakthrough
False,True,False,False,False,False,breakthroughs
True,False,False,False,False,False,bribe
True,False,False,False,False,False,briberies
True,False,False,False,False,False,bribery
True,False,False,False,False,True,bridge
False,True,False,False,False,False,brilliant
True,False,False,False,False,False,burden
True,False,False,False,False,False,burdensome
True,False,False,False,False,False,burn
True,False,False,False,False,False,calamities
True,False,False,False,False,False,calamitous
True,False,False,False,False,False,calamity
True,False,False,False,False,False,cancel
True,False,False,False,False,False,cancellation
True,False,False,False,False,False,cancellations
False,False,False,False,False,True,cancer
True,False,False,False,False,False,careless
True,False,False,False,False,False,carelessly
True,False,False,False,False,False,carelessness
True,False,False,False,False,False,catastrophe
True,False,False,False,False,False,catastrophes
True,False,False,False,False,False,catastrophic
True,False,False,False,False,False,catastrophically
True,False,False,False,False,False,caution
True,False,False,False,False,False,cautionary
False,False,True,False,False,False,cautious
False,False,True,False,False,False,cautiously
False,False,True,False,False,False,cautiousness
True,False,False,False,False,False,cease
False,False,False,True,False,False,cedant
False,False,False,True,False,False,cedants
True,False,False,False,False,False,censure
False,False,False,True,False,False,certiorari
False,False,False,True,False,False,cession
True,False,False,False,False,False,challenge
False,False,False,False,False,True,chapter
True,False,False,False,False,False,chargeoffs
False,True,False,False,False,False,charitable
False,False,False,True,False,False,chattel
False,False,False,True,False,False,chattels
False,False,False,True,False,False,choate
True,False,False,False,False,False,circumvent
True,False,False,False,False,False,circumvention
True,False,False,False,False,False,circumventions
False,False,False,True,False,False,claim
False,False,False,True,False,False,claimable
False,False,False,True,False,False,claimant
False,False,False,True,False,False,claimants
False,False,False,True,False,False,claimholder
False,False,True,False,False,False,clarification
False,False,True,False,False,False,clarifications
True,False,False,False,False,False,clawback
False,False,False,True,False,False,clawbacks
True,False,False,False,False,False,close
True,False,False,False,False,False,closeout
True,False,False,False,False,False,closeouts
True,False,False,False,False,False,closure
False,False,False,True,False,False,codefendant
False,False,False,True,False,False,codefendants
False,False,False,True,False,False,codicil
False,False,False,True,False,False,codicils
False,False,False,True,False,False,codification
False,False,False,True,False,False,codifications
False,False,False,True,False,False,codify
True,False,False,False,False,False,coerce
True,False,False,False,False,False,coercion
True,False,False,False,False,False,coercive
False,True,False,False,False,False,collaborate
False,True,False,False,False,False,collaboration
False,True,False,False,False,False,collaborations
False,True,False,False,False,False,collaborative
False,True,False,False,False,False,collaborator
False,True,False,False,False,False,collaborators
True,False,False,False,False,False,collapse
True,False,False,False,False,False,collision
True,False,False,False,False,False,collisions
True,False,False,False,False,False,collude
True,False,False,True,False,False,collusion
True,False,False,False,False,False,collusions
True,False,False,False,False,False,collusive
False,False,False,False,True,False,commit
False,False,False,False,True,False,commitment
False,False,False,False,True,False,commitments
False,False,False,False,True,False,compel
False,False,False,True,False,False,compensatory
True,False,False,False,False,False,complain
False,False,False,True,False,False,complainant
False,False,False,True,False,False,complainants
True,False,False,False,False,False,complaint
True,False,False,False,False,False,complaints
True,False,False,False,False,False,complicate
True,False,False,False,False,False,complication
True,False,False,False,False,False,complications
False,True,False,False,False,False,compliment
False,True,False,False,False,False,complimentary
False,False,False,False,True,False,comply
True,False,False,False,True,False,compulsion
False,False,False,False,True,False,compulsory
True,False,False,False,False,False,conceal
True,False,False,False,False,False,concede
False,False,True,False,False,False,conceivable
False,False,True,False,False,False,conceivably
True,False,False,False,False,False,concern
True,False,False,False,False,False,conciliate
True,False,False,False,False,False,conciliation
True,False,False,False,False,False,conciliations
False,True,False,False,False,False,conclusive
False,True,False,False,False,False,conclusively
True,False,False,False,False,False,condemn
True,False,False,False,False,False,condemnation
True,False,False,False,False,False,condemnations
False,False,False,True,False,False,condemnor
False,False,True,False,False,False,conditional
False,False,True,False,False,False,conditionally
True,False,False,False,False,False,condone
False,True,False,False,False,False,conducive
True,False,False,False,False,False,confess
True,False,False,False,False,False,confession
False,True,False,False,False,False,confident
True,False,False,False,True,False,confine
True,False,False,False,True,False,confinement
True,False,False,False,False,False,confinements
True,False,False,False,False,False,confiscate
True,False,False,False,False,False,confiscation
True,False,False,False,False,False,confiscations
False,False,False,True,False,False,confiscatory
True,False,False,False,False,False,conflict
True,False,False,False,False,False,confront
True,False,False,False,False,False,confrontation
True,False,False,False,False,False,confrontational
True,False,False,False,False,False,confrontations
True,False,False,False,False,False,confuse
True,False,True,False,False,False,confusingly
True,False,True,False,False,False,confusion
False,False,False,True,False,False,consent
False,False,False,True,False,False,conservatorships
True,False,False,False,False,False,conspiracies
True,False,False,False,False,False,conspiracy
True,False,False,False,False,False,conspirator
True,False,False,False,False,False,conspiratorial
True,False,False,False,False,False,conspirators
True,False,False,False,False,False,conspire
False,False,False,True,False,False,constitution
False,False,False,True,False,False,constitutional
False,False,False,True,False,False,constitutionality
False,False,False,True,False,False,constitutionally
False,False,False,True,False,False,constitutions
False,False,False,True,False,False,constitutive
False,False,False,False,True,False,constrain
False,False,False,False,True,False,constraint
False,False,False,False,True,False,constraints
False,True,False,False,False,False,constructive
False,True,False,False,False,False,constructively
False,False,False,True,False,False,construe
False,False,False,False,False,True,contaminate
True,False,False,False,False,False,contempt
True,False,False,False,False,False,contend
True,False,False,False,False,False,contention
True,False,False,False,False,False,contentions
True,False,False,False,False,False,contentious
True,False,False,False,False,False,contentiously
False,False,False,True,False,False,contestability
False,False,False,True,False,False,contestation
True,False,False,False,False,False,contest
False,False,True,False,False,False,contingencies
False,False,True,False,False,False,contingency
False,False,True,False,False,False,contingent
False,False,True,False,False,False,contingently
False,False,True,False,False,False,contingents
False,False,False,True,False,False,contract
False,False,False,True,False,False,contractholder
False,False,False,True,False,False,contractholders
False,False,False,True,False,False,contractible
False,False,False,True,False,False,contractile
True,False,False,False,False,False,contraction
True,False,False,False,False,False,contractions
False,False,False,True,False,False,contractual
False,False,False,True,False,False,contractually
True,False,False,False,False,False,contradict
True,False,False,False,False,False,contradiction
True,False,False,False,False,False,contradictions
True,False,False,False,False,False,contradictory
True,False,False,False,False,False,contrary
False,False,False,True,False,False,contravene
False,False,False,True,False,False,contravention
False,False,False,True,False,False,contraventions
True,False,False,False,False,False,controversial
True,False,False,False,False,False,controversies
True,False,False,False,False,False,controversy
False,False,False,True,False,False,controvert
False,False,False,True,False,False,conveniens
False,False,False,True,False,False,conveyance
False,False,False,True,False,False,conveyances
True,False,False,True,False,False,convict
True,False,False,True,False,False,conviction
True,False,False,True,False,False,convictions
False,False,False,False,False,True,cooperate
True,False,False,False,False,False,correct
True,False,False,False,False,False,correction
True,False,False,False,False,False,corrections
True,False,False,False,False,False,corrupt
True,False,False,False,False,False,corruption
True,False,False,False,False,False,corruptions
True,False,False,False,False,False,corruptly
True,False,False,False,False,False,corruptness
True,False,False,False,False,False,costly
False,False,False,True,False,False,coterminous
False,False,True,False,False,False,could
False,False,False,True,False,False,counsel
True,False,False,False,False,False,counterclaim
True,False,False,False,False,False,counterfeit
True,False,False,False,False,False,counterfeiter
True,False,False,False,False,False,counterfeiters
True,False,False,False,False,False,countermeasure
True,False,False,False,False,False,countermeasures
False,False,False,True,False,False,countersignor
False,False,False,True,False,False,countersued
False,False,False,True,False,False,countersuit
False,False,False,True,False,False,countersuits
False,False,False,True,False,False,court
False,True,False,False,False,False,courteous
False,False,False,True,False,False,courtroom
False,False,False,False,True,False,covenant
False,True,False,False,False,False,creative
False,True,False,False,False,False,creatively
False,True,False,False,False,False,creativeness
False,True,False,False,False,False,creativity
True,False,False,True,False,False,crime
True,False,False,True,False,False,crimes
True,False,False,True,False,False,criminal
False,False,False,True,False,False,criminality
False,False,False,True,False,False,criminalize
True,False,False,True,False,False,criminally
True,False,False,True,False,False,criminals
True,False,False,False,False,False,crises
True,False,False,False,False,False,crisis
True,False,False,False,False,False,critical
True,False,False,False,False,False,critically
True,False,False,False,False,False,criticism
True,False,False,False,False,False,criticisms
True,False,False,False,False,False,criticize
False,False,False,True,False,False,crossclaim
False,False,False,True,False,False,crossclaims
False,False,True,False,False,False,crossroad
False,False,True,False,False,False,crossroads
True,False,False,False,False,False,crucial
True,False,False,False,False,False,crucially
True,False,False,False,False,False,culpability
True,False,False,False,False,False,culpable
True,False,False,False,False,False,culpably
True,False,False,False,False,False,cumbersome
True,False,False,False,False,False,curtail
True,False,False,False,False,False,curtailment
True,False,False,False,False,False,curtailments
True,False,False,False,False,False,cut
True,False,False,False,False,False,cutback
True,False,False,False,False,False,cutbacks
True,False,False,False,False,False,cyberattack
True,False,False,False,False,False,cyberattacks
True,False,False,False,False,False,cyberbullying
True,False,False,False,False,False,cybercrime
True,False,False,False,False,False,cybercrimes
True,False,False,False,False,False,cybercriminal
True,False,False,False,False,False,cybercriminals
True,False,False,False,False,False,damage
True,False,False,False,False,False,dampen
True,False,False,False,False,False,danger
True,False,False,False,False,False,dangerous
True,False,False,False,False,False,dangerously
True,False,False,False,False,False,dangers
True,False,False,False,False,False,deadlock
True,False,False,False,False,False,deadlocked
True,False,False,False,False,False,deadlocking
True,False,False,False,False,False,deadlocks
True,False,False,False,False,False,deadweight
True,False,False,False,False,False,deadweights
False,False,False,False,False,True,death
True,False,False,False,False,False,debarment
True,False,False,False,False,False,debarments
True,False,False,False,False,False,debar
False,False,False,False,False,True,debilitate
True,False,False,False,False,False,decease
False,False,False,True,False,False,decedent
False,False,False,True,False,False,decedents
True,False,False,False,False,False,deceit
True,False,False,False,False,False,deceitful
True,False,False,False,False,False,deceitfulness
True,False,False,False,False,False,deceive
True,False,False,False,False,False,deception
True,False,False,False,False,False,deceptions
True,False,False,False,False,False,deceptive
True,False,False,False,False,False,deceptively
False,False,False,True,False,False,declarant
True,False,False,False,False,False,decline
False,False,False,False,False,True,decrease
False,False,False,True,False,False,decree
True,False,False,False,False,False,deface
True,False,False,False,False,False,defacement
False,False,False,True,False,False,defalcation
False,False,False,True,False,False,defalcations
True,False,False,False,False,False,defamation
True,False,False,False,False,False,defamations
True,False,False,False,False,False,defamatory
True,False,False,False,False,False,defame
True,False,False,False,False,False,default
False,False,False,True,False,False,defeasance
False,False,False,True,False,False,defeasances
False,False,False,True,False,False,defease
False,False,False,True,False,False,defeased
False,False,False,True,False,False,defeasement
False,False,False,True,False,False,defeases
False,False,False,True,False,False,defeasing
True,False,False,False,False,False,defeat
True,False,False,False,False,False,defect
True,False,False,False,False,False,defective
False,False,False,True,False,False,defectively
True,False,False,False,False,False,defend
False,False,False,True,False,False,defendable
True,False,False,True,False,False,defendant
True,False,False,True,False,False,defendants
True,False,False,False,False,False,defensive
True,False,False,False,False,False,defer
False,False,False,True,False,False,deference
True,False,False,False,False,False,deficiencies
True,False,False,False,False,False,deficiency
True,False,False,False,False,False,deficient
True,False,False,False,False,False,deficit
True,False,False,False,False,False,deficits
True,False,False,False,False,False,defraud
True,False,False,False,False,False,defunct
True,False,False,False,False,False,degradation
True,False,False,False,False,False,degradations
True,False,False,False,False,False,degrade
True,False,False,False,False,False,delay
False,False,False,True,False,False,delegable
False,False,False,True,False,False,delegatable
False,False,False,True,False,False,delegatee
False,False,False,True,False,False,delegees
True,False,False,False,False,False,deleterious
True,False,False,False,False,False,deliberate
True,False,False,False,False,False,deliberately
False,True,False,False,False,False,delight
False,True,False,False,False,False,delightful
False,True,False,False,False,False,delightfully
True,False,False,False,False,False,delinquencies
True,False,False,False,False,False,delinquency
True,False,False,False,False,False,delinquent
True,False,False,False,False,False,delinquently
True,False,False,False,False,False,delinquents
True,False,False,False,False,False,delist
True,False,False,False,False,False,demise
True,False,False,False,False,False,demolish
True,False,False,False,False,False,demolition
True,False,False,False,False,False,demolitions
True,False,False,False,False,False,demote
True,False,False,False,False,False,demotion
True,False,False,False,False,False,demotions
False,False,False,True,False,False,demur
False,False,False,True,False,False,demurrer
False,False,False,True,False,False,demurrers
True,False,False,False,False,False,denial
True,False,False,False,False,False,denials
True,False,False,False,False,False,deny
True,False,False,False,False,False,denigrate
True,False,False,False,False,False,denigration
False,False,True,False,True,False,depend
False,True,False,False,False,False,dependability
False,True,False,False,False,False,dependable
False,False,False,False,True,False,dependance
False,False,False,False,True,False,dependances
False,False,False,False,True,False,dependant
False,False,True,False,False,False,dependence
False,False,True,False,True,False,dependencies
False,False,True,False,False,False,dependency
False,False,True,False,True,False,dependent
True,False,False,False,False,False,deplete
True,False,False,False,False,False,depletion
True,False,False,False,False,False,depletions
False,False,False,True,False,False,depose
False,False,False,True,False,False,deposition
False,False,False,True,False,False,depositional
False,False,False,True,False,False,depositions
True,False,False,False,False,False,deprecation
True,False,False,False,False,False,depress
True,False,False,False,False,False,deprivation
True,False,False,False,False,False,deprive
True,False,False,False,False,False,derelict
True,False,False,False,False,False,dereliction
False,False,False,True,False,False,derogate
False,False,False,True,False,False,derogation
False,False,False,True,False,False,derogations
True,False,False,False,False,False,derogatory
False,False,False,True,False,False,designator
False,True,False,False,False,False,desirable
False,True,False,False,False,False,desire
False,False,False,True,False,False,desist
False,True,False,False,False,False,despite
True,False,False,False,False,False,destabilization
True,False,False,False,False,False,destabilize
False,True,False,False,False,False,destine
True,False,False,False,False,False,destroy
False,False,False,False,False,True,destroyer
True,False,False,False,False,False,destruction
True,False,False,False,False,False,destructive
True,False,False,False,False,False,detain
False,False,False,True,False,False,detainer
True,False,False,False,False,False,detention
True,False,False,False,False,False,detentions
True,False,False,False,False,False,deter
True,False,False,False,False,False,deteriorate
True,False,False,False,False,False,deterioration
True,False,False,False,False,False,deteriorations
True,False,False,False,False,False,deterrence
True,False,False,False,False,False,deterrences
True,False,False,False,False,False,deterrent
True,False,False,False,False,False,deterrents
True,False,False,False,False,False,detract
True,False,False,False,False,False,detriment
True,False,False,False,False,False,detrimental
True,False,False,False,False,False,detrimentally
True,False,False,False,False,False,detriments
True,False,False,False,False,False,devalue
True,False,False,False,False,False,devastate
True,False,False,False,False,False,devastation
True,False,True,False,False,False,deviate
True,False,True,False,False,False,deviation
True,False,True,False,False,False,deviations
False,False,False,True,False,False,devise
True,False,False,False,False,False,devolve
False,False,False,False,False,True,diagnose
False,False,False,False,True,False,dictate
False,False,False,False,False,True,die
False,False,True,False,False,False,differ
True,False,False,False,False,False,difficult
True,False,False,False,False,False,difficulties
True,False,False,False,False,False,difficultly
True,False,False,False,False,False,difficulty
False,True,False,False,False,False,diligent
False,True,False,False,False,False,diligently
True,False,False,False,False,False,diminish
True,False,False,False,False,False,diminution
False,False,False,False,True,False,directive
False,False,False,False,True,False,directives
False,False,False,False,False,True,disable
True,False,False,False,False,False,disadvantage
True,False,False,False,False,False,disadvantageous
True,False,False,True,False,False,disaffiliation
False,False,False,True,False,False,disaffirm
False,False,False,True,False,False,disaffirmance
False,False,False,True,False,False,disaffirmed
False,False,False,True,False,False,disaffirms
True,False,False,False,False,False,disagree
True,False,False,False,False,False,disagreeable
True,False,False,False,False,False,disagreement
True,False,False,False,False,False,disagreements
True,False,False,False,False,False,disallow
True,False,False,False,False,False,disallowance
True,False,False,False,False,False,disallowances
True,False,False,False,False,False,disappear
True,False,False,False,False,False,disappearance
True,False,False,False,False,False,disappearances
True,False,False,False,False,False,disappoint
True,False,False,False,False,False,disappointingly
True,False,False,False,False,False,disappointment
True,False,False,False,False,False,disappointments
True,False,False,False,False,False,disapproval
True,False,False,False,False,False,disapprovals
True,False,False,False,False,False,disapprove
True,False,False,False,False,False,disassociate
True,False,False,False,False,False,disassociation
True,False,False,False,False,False,disassociations
True,False,False,False,False,False,disaster
True,False,False,False,False,False,disasters
True,False,False,False,False,False,disastrous
True,False,False,False,False,False,disastrously
True,False,False,False,False,False,disavow
True,False,False,False,False,False,disavowal
True,False,False,False,False,False,disciplinary
True,False,False,False,False,False,disclaim
True,False,False,False,False,False,disclaimer
True,False,False,False,False,False,disclaimers
True,False,False,False,False,False,disclose
True,False,False,False,False,False,discontinuance
True,False,False,False,False,False,discontinuances
True,False,False,False,False,False,discontinuation
True,False,False,False,False,False,discontinuations
True,False,False,False,False,False,discontinue
True,False,False,False,False,False,discourage
False,False,False,False,False,True,discover
True,False,False,False,False,False,discredit
True,False,False,False,False,False,discrepancies
True,False,False,False,False,False,discrepancy
False,False,False,False,False,True,diseased
True,False,False,False,False,False,disfavor
True,False,False,False,False,False,disgorge
True,False,False,False,False,False,disgorgement
True,False,False,False,False,False,disgorgements
True,False,False,False,False,False,disgrace
True,False,False,False,False,False,disgraceful
True,False,False,False,False,False,disgracefully
True,False,False,False,False,False,dishonest
True,False,False,False,False,False,dishonestly
True,False,False,False,False,False,dishonesty
True,False,False,False,False,False,dishonor
True,False,False,False,False,False,dishonorable
True,False,False,False,False,False,dishonorably
True,False,False,False,False,False,disincentives
True,False,False,False,False,False,disinterested
True,False,False,False,False,False,disinterestedly
True,False,False,False,False,False,disinterestedness
True,False,False,False,False,False,disloyal
True,False,False,False,False,False,disloyally
True,False,False,False,False,False,disloyalty
True,False,False,False,False,False,dismal
True,False,False,False,False,False,dismally
True,False,False,False,False,False,dismiss
True,False,False,False,False,False,dismissal
True,False,False,False,False,False,dismissals
True,False,False,False,False,False,disorderly
True,False,False,False,False,False,disparage
True,False,False,False,False,False,disparagement
True,False,False,False,False,False,disparagements
True,False,False,False,False,False,disparagingly
True,False,False,False,False,False,disparities
True,False,False,False,False,False,disparity
True,False,False,False,False,False,displace
True,False,False,False,False,False,displacement
True,False,False,False,False,False,displacements
True,False,False,False,False,False,dispose
False,False,False,True,False,False,dispositive
True,False,False,False,False,False,dispossess
False,False,False,True,False,False,dispossession
False,False,False,True,False,False,dispossessory
True,False,False,False,False,False,disproportion
True,False,False,False,False,False,disproportional
True,False,False,False,False,False,disproportionate
True,False,False,False,False,False,disproportionately
True,False,False,False,False,False,dispute
True,False,False,False,False,False,disqualification
True,False,False,False,False,False,disqualifications
True,False,False,False,False,False,disqualify
True,False,False,False,False,False,disregard
True,False,False,False,False,False,disreputable
True,False,False,False,False,False,disrepute
True,False,False,False,False,False,disrupt
True,False,False,False,False,False,disruption
True,False,False,False,False,False,disruptions
True,False,False,False,False,False,disruptive
True,False,False,False,False,False,dissatisfaction
True,False,False,False,False,False,dissatisfy
True,False,False,False,False,False,dissent
True,False,False,False,False,False,dissenter
True,False,False,False,False,False,dissenters
True,False,False,False,False,False,dissident
True,False,False,False,False,False,dissidents
True,False,False,False,False,False,dissolution
True,False,False,False,False,False,dissolutions
False,True,False,False,False,False,distinction
False,True,False,False,False,False,distinctions
False,True,False,False,False,False,distinctive
False,True,False,False,False,False,distinctively
False,True,False,False,False,False,distinctiveness
True,False,False,False,False,False,distort
True,False,False,False,False,False,distortion
True,False,False,False,False,False,distortions
True,False,False,False,False,False,distract
True,False,False,False,False,False,distraction
True,False,False,False,False,False,distractions
False,False,False,True,False,False,distraint
True,False,False,False,False,False,distress
False,False,False,True,False,False,distributee
False,False,False,True,False,False,distribute
True,False,False,False,False,False,disturb
True,False,False,False,False,False,disturbance
True,False,False,False,False,False,disturbances
True,False,False,False,False,False,diversion
True,False,False,False,False,False,divert
True,False,False,False,False,False,divest
True,False,False,False,False,False,divestiture
True,False,False,False,False,False,divestitures
True,False,False,False,False,False,divestment
True,False,False,False,False,False,divestments
True,False,False,False,False,False,divorce
